rank,last_rank,trend,name,city,rating,rating_5yr
392,404,stable,Cathcar t Boulevard,Sarnia,7.9,7.6
447,977,stable,Loretto Niagara,Falls,7.8,6.7
392,427,stable,St Gabriel,Windsor,7.9,7.5
447,1025,stable,Rideau,Kingston,7.8,6.6
392,433,declining,St Elizabeth Ann Seton,Nepean,7.9,7.5
447,1439,declining,Séraphin-Marion,Ottawa,7.8,6.1
392,443,stable,Glen Shields,Concord,7.9,7.5
447,n/a,n/a,Bialik Hebrew Day,Toronto,7.8,n/a
392,443,stable,Sts Cosmas and Damian,Toronto,7.9,7.5
447,n/a,n/a,Victory,Guelph,7.8,n/a
392,443,stable,Williamson Road,Toronto,7.9,7.5
480,75,stable,Runnymede,Toronto,7.7,8.6
392,456,stable,Brookside,Scarborough,7.9,7.5
480,111,stable,David Lewis,Scarborough,7.7,8.4
392,469,stable,St. John,London,7.9,7.5
480,136,improving,Swansea,Toronto,7.7,8.3
392,525,stable,Lakeview,Nepean,7.9,7.3
480,141,stable,Our Lady Help of Christians Richmond,Hill,7.7,8.3
392,532,declining,Grand Avenue,Grimsby,7.9,7.3
480,147,stable,Elizabeth B Phin,Pickering,7.7,8.2
392,532,stable,St Ann,Ancaster,7.9,7.3
480,156,stable,Notre-Dame-de-Grâce,Etobicoke,7.7,8.2
392,561,stable,St Georges,London,7.9,7.3
480,197,stable,St George,Ottawa,7.7,8.1
392,571,stable,Allan A Greenleaf,Waterdown,7.9,7.2
480,220,stable,Valley Central Slate,River,7.7,8.0
392,571,stable,Brisbane,Erin,7.9,7.2
480,239,stable,Indian Road Crescent,Toronto,7.7,8.0
392,604,stable,St Joseph,Belleville,7.9,7.2
480,254,stable,Félix-Leclerc,Etobicoke,7.7,7.9
392,615,stable,College Street,Smithville,7.9,7.2
480,258,stable,Garden Avenue,Toronto,7.7,7.9
392,642,stable,St. Brother André,Gloucester,7.9,7.1
480,259,stable,Roger-Saint-Denis,Kanata,7.7,7.9
